PARTNER (Labels),Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Liechtenstein,Norway,Switzerland,United Kingdom,Montenegro,North Macedonia,Albania,Serbia,Turkey,Andorra,Belarus,Bosnia and Herzegovina,Gibraltar (UK),Kosovo (under United Nations Security Council Resolution 1244/99),Moldova,Russia,Ukraine,Other countries of former Soviet Union (before 1991),Other European countries (aggregate changing according to the context),Angola,Cameroon,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,São Tomé and Príncipe,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Mauritius,Mozambique,Uganda,Tanzania,Algeria,Egypt,Libya,Morocco,South Sudan,Sudan,Tunisia,Namibia,South Africa,Benin,Cabo Verde,Côte d'Ivoire,Ghana,Guinea-Bissau,Liberia,Mauritania,Niger,Nigeria,Senegal,Sierra Leone,Togo,Other African countries (aggregate changing according to the context),Canada,United States,Aruba (NL),Bahamas,Barbados,British Virgin Islands (UK),Cuba,Curaçao,Dominican Republic,Jamaica,Trinidad and Tobago,Belize,Costa Rica,Guatemala,Honduras,Mexico,Panama,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Peru,Uruguay,Venezuela,Other American countries (aggregate changing according to the context),Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,China including Hong Kong,Hong Kong,Japan,Mongolia,North Korea,South Korea,Taiwan,Bangladesh,India,Iran,Nepal,Pakistan,Sri Lanka,Brunei Darussalam,Cambodia,Indonesia,Laos,Malaysia,Myanmar/Burma,Philippines,Singapore,Thailand,Timor-Leste,Vietnam,Armenia,Azerbaijan,Bahrain,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syria,United Arab Emirates,Yemen,Other Near and Middle East Asian countries,Other Asian countries (aggregate changing according to the context),Australia,New Zealand,New Caledonia (FR),Papua New Guinea,Marshall Islands,Total,Not specified
Norway,138.60,0.00,0.03,546.91,77.42,21.77,90.13,0.76,0.14,90.15,0.09,0.73,0.00,5.21,26.17,0.00,0.00,0.00,429.43,0.17,31.65,0.00,0.00,0.32,0.00,48.52,2114.99,0.00,0.00,0.00,0.12,1017.30,0.00,0.00,0.00,0.00,0.11,0.00,0.70,0.00,0.00,0.00,0.00,961.04,0.00,0.00,0.00,395.88,137.38,0.00,0.00,132.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,922.48,0.00,0.00,0.00,0.00,0.06,1444.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,302.79,0.00,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.04,0.00,0.00,0.24,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,114.06,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,9054.24,0.00
Montenegro,3.20,0.00,0.00,0.00,0.00,0.00,0.00,166.80,7.10,0.00,99.80,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,10.90,12.30,0.00,0.00,0.00,2.90,0.00,2.60,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324.60,2.30
North Macedonia,0.00,98.52,0.00,0.00,1.65,0.00,0.00,696.79,0.00,0.40,0.00,11.22,0.00,0.00,0.18,0.00,1.27,0.04,0.00,0.00,0.56,0.00,14.79,0.49,18.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.30,42.74,17.96,0.00,0.00,0.00,0.00,0.24,0.00,26.43,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,178.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1149.50,23.41
Albania,0.25,0.00,0.00,0.00,0.99,0.00,0.00,330.26,29.90,0.04,71.27,170.38,0.00,0.00,0.00,0.00,0.00,1.79,0.74,0.00,0.00,22.85,58.43,12.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.34,0.00,0.57,121.29,0.00,0.00,0.00,0.00,0.63,0.00,86.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.30,21.17,17.99,0.00,0.00,0.00,2.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1103.69,0.00
Serbia,5.69,93.08,4.81,0.00,7.73,0.00,0.00,7.20,0.06,0.01,13.78,31.72,0.00,0.00,0.91,0.00,426.59,0.00,2.33,9.52,7.47,0.00,183.88,2.79,23.30,0.08,0.00,0.00,0.00,0.45,0.36,0.30,0.00,0.48,7.10,0.00,1.74,0.00,2.25,0.05,0.00,0.00,0.00,858.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,2.71,0.00,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.87,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1510.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3532.23,2.12
Turkey,244.85,296.16,0.00,6.52,55.25,0.00,0.00,923.36,446.76,68.39,60.66,167.82,0.00,0.00,0.00,0.00,0.00,0.00,358.57,0.00,10.60,12.91,26.16,0.00,0.00,56.59,0.00,0.00,0.00,3094.08,10.50,112.83,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9080.17,0.00,0.00,0.00,145.90,0.00,13.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1049.28,519.47,993.35,0.00,0.00,0.00,82.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2492.34,10.65,0.00,0.00,0.00,0.00,3700.86,0.00,12.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.48,0.00,0.00,0.00,0.00,0.00,0.00,15.38,3684.19,0.00,0.00,868.56,0.00,64.80,0.00,0.59,0.00,0.00,4.60,1.16,0.00,2049.55,3.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.41,0.00,0.00,3.50,0.00,0.00,0.00,0.00,249.70,6.95,0.74,11783.57,1456.09,0.00,0.00,0.00,0.00,17.80,3199.00,0.00,8.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47592.31,69.40
Bosnia and Herzegovina,0.00,41.61,4.86,0.00,1.12,0.00,0.00,37.65,0.00,0.00,559.02,416.81,0.00,0.00,1.76,0.00,19.36,0.56,0.00,6.39,1.97,0.00,8.28,3.06,2.40,0.00,2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.24,13.23,323.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.28,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1520.59,58.08
Kosovo (under United Nations Security Council Resolution 1244/99),0.18,28.01,0.21,0.00,1.37,0.00,0.00,245.70,23.01,0.06,17.79,57.17,0.00,0.00,0.07,0.00,0.40,0.00,0.19,4.60,0.15,6.53,8.30,0.35,0.00,0.00,0.00,0.00,0.00,0.54,0.08,0.00,0.00,55.37,36.94,12.45,54.30,0.00,0.00,0.19,0.00,0.00,0.00,64.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.93,7.47,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.20,0.00,0.00,0.00,0.00,0.00,4.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,774.81,10.27
Moldova,0.30,35.20,0.00,0.00,0.60,0.00,0.00,0.00,0.10,0.20,0.00,0.40,0.00,0.00,0.10,0.00,0.40,0.00,0.20,0.00,0.10,0.00,649.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,22.50,2.50,0.00,49.60,0.00,0.00,0.00,0.00,157.50,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,958.30,0.90
Ukraine,9.00,15.90,0.10,0.00,15.00,2.70,0.00,323.35,0.00,2.60,2.90,42.20,0.00,11.70,905.60,0.00,30.20,9.80,7.10,0.00,199.10,0.00,49.30,0.10,0.00,8.70,0.00,0.00,0.00,0.00,3.05,0.00,0.00,0.00,0.00,0.70,406.40,0.00,3817.30,0.00,0.00,0.00,0.00,3893.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.20,81.30,0.00,0.00,0.00,0.00,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,387.80,0.00,0.00,48.60,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,910.80,0.00,0.00,0.00,55.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11716.20,105.70
Georgia,0.93,112.23,0.00,0.00,1.78,0.01,0.00,46.31,0.06,0.16,0.00,0.13,0.42,0.03,0.64,0.00,0.08,0.07,0.81,2.61,0.54,0.00,210.13,0.00,0.00,0.27,0.00,0.00,0.00,0.00,1.43,0.08,0.00,0.18,0.25,0.00,34.07,0.00,0.72,0.00,0.00,0.00,10.64,381.76,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.06,0.00,0.00,149.73,0.00,0.03,0.39,0.08,0.00,0.00,3.32,0.00,0.00,1.44,10.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.06,0.00,0.00,0.00,0.95,302.34,0.00,0.00,26.72,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1354.65,0.00
