#,admin4Pcode,admin4Name_eng,admin4Name_ukr,admin4ClassType,admin4PoliticalType,admin3Pcode,admin3Name_eng,admin3Name_ukr,admin3Name_rus,admin3PoliticalType,admin2Pcode,admin2Name_eng,admin2Name_ukr,admin2Name_rus,admin2ClassType,admin2PoliticalType,admin1Pcode,admin1Name_eng,admin1Name_ukr,admin1Name_rus,admin1ClassType,Population,Population_source,X Longitude,Y Latitude,IDP location Cluster,IDP estimation
1740,UA5106003001,Bolhrad,Болград,міста,центр району; місто районного значення; центр міської ОТГ,UA5106003,Bolhradska,Болградська,Болградская,міська ОТГ,UA5106,Bolhradskyi,Болградський,Болградский,район,,UA51,Odeska,Одеська,Одесская,область,15631,Census 2001,28.60878775,45.68446748,1,15631
1763,UA4614009005,Bolianovychi,Боляновичі,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,636,Census 2001,23.07035871,49.68218431,1,636
1802,UA4608005005,Bonevychi,Боневичі,сільські населені пункти (СНП),,UA4608005,Dobromylska,Добромильська,Добромильская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,698,Census 2001,22.82896586,49.5920618,1,698
1808,UA4614009006,Boratychi,Боратичі,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,281,Census 2001,22.94488958,49.70336418,1,281
1939,UA4612013006,Boriatyn,Борятин,сільські населені пункти (СНП),,UA4612013,Chervonohradska,Червоноградська,Червоноградская,міська ОТГ,UA4612,Chervonohradskyi,Червоноградський,Червоноградский,район,,UA46,Lvivska,Львівська,Львовская,область,797,Census 2001,24.19412019,50.42263348,1,797
1855,UA0706033002,Borove,Борове,сільські населені пункти (СНП),,UA0706033,Rivnenska,Рівненська,Ровенская,сільська ОТГ,UA0706,Kovelskyi,Ковельський,Ковельский,район,,UA07,Volynska,Волинська,Волынская,область,284,Census 2001,23.83241178,51.26746151,1,284
1856,UA4606039003,Borove,Борове,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,233,Census 2001,23.57903934,50.23393507,1,233
1933,UA0508003002,Borshchivtsi,Борщівці,сільські населені пункти (СНП),,UA0508003,Vendychanska,Вендичанська,Вендичанская,селищна ОТГ,UA0508,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,район,,UA05,Vinnytska,Вінницька,Винницкая,область,1022,Census 2001,27.828616,48.55315291,1,1022
1912,UA4608005006,Borshevychi,Боршевичі,сільські населені пункти (СНП),,UA4608005,Dobromylska,Добромильська,Добромильская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,328,Census 2001,22.84260764,49.65251767,1,328
1907,UA0702019002,Bortniv,Бортнів,сільські населені пункти (СНП),,UA0702019,Poromivska,Поромівська,Поромовская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,450,Census 2001,24.10867677,50.77325475,1,450
1823,UA4614011005,Borysy,Бориси,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,39,Census 2001,23.3921272,50.0105535,1,39
1815,UA2102003005,Borzhava,Боржава,сільські населені пункти (СНП),,UA2102003,Berehivska,Берегівська,Береговская,міська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1502,Census 2001,22.72437624,48.15619853,1,1502
1943,UA2102019002,Botar,Ботар,сільські населені пункти (СНП),,UA2102019,Pyiterfolvivska,Пийтерфолвівська,Паятерфолвовский,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,924,Census 2001,22.97168053,48.0248744,1,924
1947,UA2110025002,Botfalva,Ботфалва,сільські населені пункти (СНП),,UA2110025,Kholmkivska,Холмківська,Холмковская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,579,Census 2001,22.20697358,48.57902762,1,579
1704,UA4614011004,Bozha Volia,Божа Воля,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,85,Census 2001,23.21188663,50.00777219,1,85
1988,UA7304003004,Brailivka,Браїлівка,сільські населені пункти (СНП),,UA7304003,Kelmenetska,Кельменецька,Кельменецкая,селищна ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,322,Census 2001,26.90657858,48.38701145,1,322
1996,UA7304017003,Bratanivka,Братанівка,сільські населені пункти (СНП),,UA7304017,Sokyrianska,Сокирянська,Сокирянская,міська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,715,Census 2001,27.06452374,48.52748618,1,715
2113,UA0508005002,Bronnytsia,Бронниця,сільські населені пункти (СНП),,UA0508005,Mohyliv-Podilska,Могилів-Подільська,Могилев-Подольская,міська ОТГ,UA0508,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,район,,UA05,Vinnytska,Вінницька,Винницкая,область,1266,Census 2001,27.89384757,48.40537834,1,1266
2101,UA4614011006,Brozhky,Брожки,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,268,Census 2001,23.2069128,49.95110686,1,268
2257,UA0702019003,Budiatychi,Будятичі,сільські населені пункти (СНП),,UA0702019,Poromivska,Поромівська,Поромовская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,636,Census 2001,24.17528039,50.70846859,1,636
2246,UA0706033003,Budnyky,Будники,сільські населені пункти (СНП),,UA0706033,Rivnenska,Рівненська,Ровенская,сільська ОТГ,UA0706,Kovelskyi,Ковельський,Ковельский,район,,UA07,Volynska,Волинська,Волынская,область,197,Census 2001,23.77056566,51.33583618,1,197
2303,UA7306055002,Bukivka,Буківка,сільські населені пункти (СНП),,UA7306055,Tereblechenska,Тереблеченська,Тереблеченская,сільська ОТГ,UA7306,Cnernivetskyi,Чернівецький,Черновицкий,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,913,Census 2001,26.10101,48.05017185,1,913
2322,UA5106005004,Bulativka,Булатівка,сільські населені пункти (СНП),,UA5106005,Borodinska,Бородінська,Бородинская,селищна ОТГ,UA5106,Bolhradskyi,Болградський,Болградский,район,,UA51,Odeska,Одеська,Одесская,область,6,Census 2001,29.10596596,46.41952359,1,6
2336,UA4614011007,Buniv,Бунів,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,794,Census 2001,23.24279133,49.89739463,1,794
2338,UA4608021003,Bunkovychi,Буньковичі,сільські населені пункти (СНП),,UA4608021,Khyrivska,Хирівська,Хыровская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,566,Census 2001,22.82217015,49.52309104,1,566
2349,UA7304003006,Burdiuh,Бурдюг,сільські населені пункти (СНП),,UA7304003,Kelmenetska,Кельменецька,Кельменецкая,селищна ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,934,Census 2001,26.89193492,48.48074248,1,934
2441,UA4614009007,Butsiv,Буців,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,707,Census 2001,22.98366942,49.82581159,1,707
2260,UA0702019004,Buzhanka,Бужанка,сільські населені пункти (СНП),,UA0702019,Poromivska,Поромівська,Поромовская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,787,Census 2001,24.12363948,50.75284686,1,787
2279,UA7304003005,Buzovytsia,Бузовиця,сільські населені пункти (СНП),,UA7304003,Kelmenetska,Кельменецька,Кельменецкая,селищна ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,1642,Census 2001,26.92811253,48.49921399,1,1642
